tRF,gene,score
tRF-24-S3M8309N0Y,TMEM134,Up
tRF-24-S3M8309N0Y,MOGS,Uncertain
tRF-18-HSQSD2D2,KDELR1,Down
tRF-18-HSQSD2D2,BSG,Down
tRF-18-HSQSD2D2,CD2BP2,Down
tRF-18-HSQSD2D2,CEBPB,Down
tRF-18-HSQSD2D2,CTNNB1,Up
tRF-18-HSQSD2D2,NFIX,Up
tRF-18-HSQSD2D2,NUP210,Up
tRF-23-R29P4P9LDS,CKB,Down
tRF-23-R29P4P9LDS,COL6A1,Down
tRF-23-R29P4P9LDS,KIAA1522,Down
tRF-23-R29P4P9LDS,PLAUR,Up
tRF-18-XRPM46D2,ARHGEF39,Down
tRF-18-XRPM46D2,EPC1,Down
tRF-18-XRPM46D2,E2F3,Up
tRF-18-XRPM46D2,NAA15,Up
tRF-18-XRPM46D2,UBR4,Up
tRF-24-7SHRMFWRE2,NCOR2,Down
tRF-24-RK9P4P9LH9,ACTN1,Down
tRF-24-RK9P4P9LH9,ALKBH7,Down
tRF-24-RK9P4P9LH9,CERS2,Down
tRF-24-RK9P4P9LH9,COL6A2,Down
tRF-24-RK9P4P9LH9,HDAC7,Down
tRF-24-RK9P4P9LH9,HNRNPDL,Down
tRF-24-RK9P4P9LH9,ITPR3,Down
tRF-24-RK9P4P9LH9,LTBP3,Down
tRF-24-RK9P4P9LH9,NCOR2,Down
tRF-24-RK9P4P9LH9,PLXNB2,Down
tRF-24-RK9P4P9LH9,SF1,Down
tRF-24-RK9P4P9LH9,ARHGDIA,Up
tRF-24-RK9P4P9LH9,ATP6V0B,Up
tRF-24-RK9P4P9LH9,C4orf48,Up
tRF-24-RK9P4P9LH9,PLAUR,Up
tRF-24-RK9P4P9LH9,PLBD2,Up
tRF-24-RK9P4P9LH9,PPP1R9B,Up
tRF-24-RK9P4P9LH9,PYCR1,Up
tRF-24-RK9P4P9LH9,SEC61A1,Up
tRF-24-RK9P4P9LH9,SLC25A39,Up
tRF-28-P4R8YP9LOND5,B4GALNT4,Up
tRF-29-P4R8YP9LONHK,B4GALNT4,Up
