miRNA,gene,score
hsa-miR-223-3p,MYH10,0.86403773986307
hsa-miR-223-3p,LMO2,0.862296132042497
hsa-miR-223-3p,ANKRD17,0.860988240466227
hsa-miR-223-3p,SCAF8,0.86000754842992
hsa-miR-223-3p,RRAS2,0.855946160576092
hsa-miR-223-3p,ATP7A,0.855035942523611
hsa-miR-223-3p,ARMCX1,0.854426054388794
hsa-miR-223-3p,RUBCNL,0.853868482312084
hsa-miR-223-3p,PURA,0.853735117131514
hsa-miR-223-3p,PTBP2,0.852459247299504
hsa-miR-223-3p,NFIA,0.844600188630255
hsa-miR-223-3p,SREK1,0.842660068027222
hsa-miR-223-3p,KAT6A,0.83735670014259
hsa-miR-223-3p,RPS6KB1,0.837157225906298
hsa-miR-223-3p,PRDM1,0.836429517374706
hsa-miR-223-3p,PDS5B,0.835422373859325
hsa-miR-223-3p,F3,0.829148643552884
hsa-miR-223-3p,BRMS1L,0.828930426273424
hsa-miR-223-3p,RAP2A,0.827724152234918
hsa-miR-223-3p,ARID1A,0.824818989401739
hsa-miR-223-3p,ULK2,0.824792935897072
hsa-miR-223-3p,CBLB,0.822758524214895
hsa-miR-223-3p,ECT2,0.822122499675642
hsa-miR-223-3p,PKNOX1,0.821238720475348
hsa-miR-223-3p,PDE4D,0.81924199879845
hsa-miR-223-3p,SLC39A1,0.818382254647156
hsa-miR-223-3p,CALML4,0.817152561585953
hsa-miR-223-3p,MEF2C,0.817080445430143
hsa-miR-223-3p,MMP16,0.816296496552468
hsa-miR-223-3p,TENT5A,0.816060891212175
hsa-miR-223-3p,PURB,0.813913579882657
hsa-miR-223-3p,APC,0.813310604199645
hsa-miR-223-3p,SCN3A,0.812778293551012
hsa-miR-223-3p,ARMC1,0.811675304104867
hsa-miR-223-3p,GALNT18,0.811635308063291
hsa-miR-223-3p,PHF20L1,0.811541464305505
hsa-miR-223-3p,RAB8B,0.809930952558969
hsa-miR-223-3p,HLF,0.809627945765449
hsa-miR-223-3p,RCN2,0.808984067427489
hsa-miR-223-3p,SCN1A,0.808753107776808
hsa-miR-223-3p,MYBL1,0.803928725787046
hsa-miR-223-3p,FOXO3,0.803525252451408
hsa-miR-223-3p,BRPF3,0.802699818150702
hsa-miR-223-3p,INPP5B,0.80265356188456
hsa-miR-223-3p,KLF12,0.800076939904184
hsa-miR-125a-5p,IRF4,0.913719519052915
hsa-miR-125a-5p,ARID3B,0.906580613490392
hsa-miR-125a-5p,PCTP,0.905942511967815
hsa-miR-125a-5p,GRB10,0.901680980761357
hsa-miR-125a-5p,GCNT1,0.896342445383255
hsa-miR-125a-5p,OSBPL9,0.896321560556133
hsa-miR-125a-5p,STARD13,0.895918469516763
hsa-miR-125a-5p,PPP4R3A,0.892656235699055
hsa-miR-125a-5p,KLF13,0.892560403644125
hsa-miR-125a-5p,SEMA4D,0.890462739639411
hsa-miR-125a-5p,SLC39A9,0.889431350058439
hsa-miR-125a-5p,SH3TC2,0.887906554002536
hsa-miR-125a-5p,VPS4B,0.885439330079071
hsa-miR-125a-5p,TMEM168,0.885252809964752
hsa-miR-125a-5p,LFNG,0.877383124051903
hsa-miR-125a-5p,TNFAIP3,0.876884723881378
hsa-miR-125a-5p,DENND6A,0.87542990133741
hsa-miR-125a-5p,LIN28A,0.875011468386977
hsa-miR-125a-5p,SEMA4C,0.87155145453493
hsa-miR-125a-5p,MTF1,0.871486836519775
hsa-miR-125a-5p,TNFSF4,0.870827008951644
hsa-miR-125a-5p,FAM118A,0.869994535038962
hsa-miR-125a-5p,RYBP,0.868310564479862
hsa-miR-125a-5p,IST1,0.867869167078255
hsa-miR-125a-5p,SERTAD3,0.866891775402315
hsa-miR-125a-5p,NECAB3,0.865556423016179
hsa-miR-125a-5p,DOCK3,0.864837376304742
